market,latitude,longitude,year,month,temperature_mean,rainfall_monthly,humidity_mean
Agra,27.18,78.02,1994,10,25.47,0.03,41.6
Agra,27.18,78.02,1994,11,21.98,0.0,31.39
Agra,27.18,78.02,1994,12,17.4,0.0,24.06
Agra,27.18,78.02,1995,1,14.28,1.03,40.04
Agra,27.18,78.02,1995,2,18.96,0.24,34.43
Agra,27.18,78.02,1995,3,24.37,0.34,26.45
Agra,27.18,78.02,1995,4,30.63,0.0,18.08
Agra,27.18,78.02,1995,5,36.4,0.01,14.76
Agra,27.18,78.02,1995,6,38.05,2.51,28.14
Agra,27.18,78.02,1995,7,33.86,4.59,53.51
Agra,27.18,78.02,1995,8,28.71,11.03,84.15
Agra,27.18,78.02,1995,9,27.29,5.77,79.33
Agra,27.18,78.02,1995,10,25.3,0.0,56.55
Agra,27.18,78.02,1995,11,20.74,0.0,36.54
Agra,27.18,78.02,1995,12,17.19,0.13,42.95
Agra,27.18,78.02,1996,1,15.85,0.81,40.27
Agra,27.18,78.02,1996,2,18.88,1.86,41.79
Agra,27.18,78.02,1996,3,25.42,0.07,34.62
Agra,27.18,78.02,1996,4,31.18,0.04,14.12
Agra,27.18,78.02,1996,5,35.59,0.29,17.73
Agra,27.18,78.02,1996,6,36.19,3.17,36.53
Agra,27.18,78.02,1996,7,31.78,8.05,66.0
Agra,27.18,78.02,1996,8,28.35,7.82,83.91
Agra,27.18,78.02,1996,9,27.33,4.63,79.21
Agra,27.18,78.02,1996,10,23.92,0.94,64.56
Agra,27.18,78.02,1996,11,19.99,0.0,37.2
Agra,27.18,78.02,1996,12,15.7,0.0,29.85
Agra,27.18,78.02,1997,1,14.8,0.08,30.86
Agra,27.18,78.02,1997,2,18.67,0.02,19.62
Agra,27.18,78.02,1997,3,24.91,0.07,23.49
Agra,27.18,78.02,1997,4,29.62,0.16,22.96
Agra,27.18,78.02,1997,5,33.85,2.51,21.29
Agra,27.18,78.02,1997,6,34.85,1.92,41.55
Agra,27.18,78.02,1997,7,34.31,3.53,51.9
Agra,27.18,78.02,1997,8,30.55,4.54,67.22
Agra,27.18,78.02,1997,9,29.8,2.31,61.61
Agra,27.18,78.02,1997,10,26.38,1.02,50.51
Agra,27.18,78.02,1997,11,21.66,0.32,45.49
Agra,27.18,78.02,1997,12,14.9,1.67,59.84
Agra,27.18,78.02,1998,1,14.17,0.03,42.13
Agra,27.18,78.02,1998,2,17.84,0.09,37.43
Agra,27.18,78.02,1998,3,23.22,0.36,28.56
Agra,27.18,78.02,1998,4,31.79,0.2,18.55
Agra,27.18,78.02,1998,5,36.74,0.38,18.67
Agra,27.18,78.02,1998,6,36.82,2.29,32.27
Agra,27.18,78.02,1998,7,30.96,7.24,72.83
Agra,27.18,78.02,1998,8,29.66,5.92,79.52
Agra,27.18,78.02,1998,9,29.0,4.29,76.11
